Plate	Well	GeneID
2	C05	pDhlcc3_261i1r1atgS1_1E1MNY1
2	C06	pDhfbr1_6l10_1E3MNY1
2	C07	pDhamy2_2h17_1E1MNY1
2	C08	pDakxq28o05362_1E1MNY1
2	C09	pDakxq28i0610741_1E1MNY1
2	C10	pDakxq28G021845_1E2MNY1
2	C11	pDhlcc3_59p19_1E2MNY1
2	C12	pDhlcc3_159g12r1s1_1E1MNY1
2	D01	pDhfbr1_10j21_1E2MNY1
2	D02	pDhamy2_7j19_1E1MNY1
2	D03	pDakxq28n167159_1E1MNY1
2	D04	pDakxq28g228444_1E3MNY1
2	D05	pDhlcc3_116l20_1E1MNY1
2	D06	pDhfbr2_3b16_1E1MNY1
2	D07	pDhfbr1_15b14_1E1MNY1
2	D08	pDhute1_19k9_1E1MNY1
2	D09	pDakxq28L23832_1E1MNY1
2	D10	pDakxq28g17175_1E1MNY1
2	D11	pDhfbr1_15f6_1E1MNY1
2	D12	pDIMAGp998d2012760_1E1MNY1
2	E01	Mock
2	E02	YCDK2
2	E03	YCIDE3
2	E04	Yfas
2	E05	YYFP
2	E06	Yvector
2	E07	pDakxq28u66048_1E1MCY1
2	E08	pDakxq28j056793_1E1MCY1
2	E09	pDakxq28D211790_1E1MCY1
2	E10	pDakxq28ak055600_1E1MCY1
2	E11	pDhlcc1_18i9_1E1MCY1
2	E12	pDhfbr2_62f10_1E1MCY1
2	F01	pDhfbr1_3f21_1E1MCY1
2	F02	pDakxq28d201286_1E2MCY1
2	F03	pDhlcc3_52b8_1E1MCY1
2	F04	pDhfbr2_3m17_1E1MCY1
2	F05	pDhamy2_1h17_1E1MCY2
2	F06	pDakxq28j234_1E1MCY1
2	F07	pDakxq28i231435_1E1MCY1
2	F08	pDakxq28D0812213_1E1MCY1
2	F09	pDhlcc3_86f23_1E1MCY1
2	F10	pDhlcc3_261i1r1s1_1E1MCY1
2	F11	pDhfbr2_6i20_1E1MCY1
2	F12	pDhamy2_1f24_1E2MCY1
2	G01	pDakxq28o22185_1E3MCY1
2	G02	pDakxq28i14160_1E1MCY1
2	G03	pDakxq28c1710741_1E2MCY1
2	G04	pDhlcc3_86a15_1E1MCY1
2	G05	pDhlcc3_261i1r1atgS1_1E1MCY1
2	G06	pDhfbr1_6l10_1E3MCY1
2	G07	pDhamy2_2h17_1E1MCY1
2	G08	pDakxq28o05362_1E1MCY1
2	G09	pDakxq28i0610741_1E1MCY1
2	G10	pDakxq28G021845_1E2MCY1
2	G11	pDhlcc3_59p19_1E2MCY1
2	G12	pDhlcc3_159g12r1s1_1E1MCY1
2	H01	pDhfbr1_10j21_1E2MCY1
