"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Athmar Park Branch" "1055 S. Tejon Street" "Denver" "CO" "" -105.0135857 39.6971052
"Bear Valley Branch" "5171 West Dartmouth Avenue" "Denver" "CO" "" -105.0514531 39.6564899
"Blair-Caldwell Library" "2401 Welton Street" "Denver" "CO" "" -104.9816069 39.7524359
"Byers Library" "675 Santa Fe Drive" "Denver" "CO" "" -104.9988968 39.7270737
"Decker Branch" "1501 South Logan Street" "Denver" "CO" "" -104.9830775 39.6892003
"Denver Public Library" "10 W 14th Avenue Parkway" "Denver" "CO" "80204" -104.9881457 39.7372618
"Eugene Field Library" "810 South University Boulevard" "Denver" "CO" "" -104.9589582 39.7016933
"Ford Warren Library" "2825 High Street" "Denver" "CO" "" -104.9650955 39.7573035
"Hadley Branch" "1890 South Grove Street" "Denver" "CO" "" -105.0258716 39.6826197
"Hampden Branch" "9755 East Girard Avenue" "Denver" "CO" "" -104.8747666 39.6546682
"Montbello Branch" "12955 Albrook Drive" "Denver" "CO" "" -104.840467 39.7802398
"Park Hill Branch" "4705 Montview Boulevard" "Denver" "CO" "" -104.9325269 39.747775
"Pauline Robinson Branch" "5575 E 33rd Ave" "Denver" "CO" "" -104.9227264 39.7641148
"Perl Mack Branch Library" "7611 Hilltop Circle" "Denver" "CO" "" -105.0029351 39.8348159
"Ross-Barnum Branch" "3570 West 1st Avenue" "Denver" "CO" "" -105.0345571 39.7179274
"Ross-Broadway Branch" "33 East Bayaud Avenue" "Denver" "CO" "" -104.9866333 39.7149952
"Ross-Cherry Creek Branch" "305 Milwaukee Street" "Denver" "CO" "" -104.952556 39.721257
"Ross-University Hills Branch" "4310 East Amherst Avenue" "Denver" "CO" "" -104.9373627 39.6652013
"Schlessman Family Branch" "100 South Poplar Street" "Denver" "CO" "" -104.9043474 39.7142547
"Smiley Branch" "4501 West 46th Avenue" "Denver" "CO" "" -105.048587 39.780393
"Valdez-Perry" "4690 Vine Street" "Denver" "CO" "" -104.9620771 39.7816807
"Virginia Village Branch" "1500 South Dahlia Street" "Denver" "CO" "" -104.931099 39.688861
"Westwood Branch" "1000 South Lowell Boulevard" "Denver" "CO" "" -105.033683 39.698517
"Woodbury Branch" "3265 Federal Boulevard" "Denver" "CO" "" -105.0257471 39.7631346
"Dinosaur Branch Library" "200 7th Street" "Dinosaur" "CO" "" -109.0117729 40.2383926
"Dolores Library District-Montezuma County" "1002 Railroad Ave" "Dolores" "CO" "81323" -108.496578 37.474094
"Dolores Public Library" "420 Railroad Avenue" "Dolores" "CO" "" -108.5030839 37.4733105
"Adult-High School Branch" "457 Main" "Dove Creek" "CO" "" -108.9040835 37.7613351
"Children-Elementary School Branch" "720 Main" "Dove Creek" "CO" "" -108.9039745 37.7688668
"Dolores County School-Public Lib Dove Creek" "525 North Main" "Dove Creek" "CO" "81324" -108.9039662 37.7665691
"Durango Public Library" "1900 East Third Ave" "Durango" "CO" "81301" -107.8734133 37.2833791
"Durango-Sunnyside Branch" "75 Cr 218" "Durango" "CO" "" -107.862741 37.122893
"Kiowa County Public Library District" "1305 Goff Street" "Eads" "CO" "81036" -102.7800284 38.4796659
"Eagle Valley Library District" "600 Broadway" "Eagle" "CO" "81631" -106.8274519 39.650713
"Eaton Public Library" "132 Maple Avenue" "Eaton" "CO" "" -104.714814 40.5271926
"Edgewater Library" "5843 West 25th Avenue" "Edgewater" "CO" "" -105.0610858 39.7531688
"Elbert County Library District" "239 Main Street" "Elizabeth" "CO" "80107" -104.5956 39.3603252
"Elizabeth Branch Library" "207 Main" "Elizabeth" "CO" "" -104.5956304 39.3604866
"Arapahoe Library District" "12855 East Adam Aircraft Circle" "Englewood" "CO" "" -104.8390773 39.5781242
"Arapahoe Library District" "12855 E. Adam Aircraft Circle" "Englewood" "CO" "80112" -104.8390773 39.5781242
"Englewood Public Library" "1000 Englewood Parkway" "Englewood" "CO" "80110" -104.9990508 39.6546794
"Estes Valley Public Library District" "335 E Elkhorn Ave" "Estes Park" "CO" "80517" -105.5197721 40.3774644
"Evergreen Library" "5000 Highway 73" "Evergreen" "CO" "" -105.3246336 39.6251424
"Park County Public Library" "418 Main Street" "Fairplay" "CO" "80440" -106.0021995 39.2253248
"Flagler Community Library" "311 Main Ave" "Flagler" "CO" "80815" -103.0676298 39.2915578
"Fleming Community Library (School-Public)" "506 Fremont Avenue" "Fleming" "CO" "80728" -102.841641 40.686191
"John C. Fremont Library District (Florence)" "130 Church Ave" "Florence" "CO" "81226" -105.122184 38.391505
"Florissant Branch" "2001teller County Rd 31" "Florissant" "CO" "" -105.2931276 38.9476339
"Fort Collins Public Library" "201 Peterson Street" "Fort Collins" "CO" "" -105.0725797 40.5849335
"Harmony Library" "4616 South Shields Street" "Fort Collins" "CO" "" -105.0928181 40.5228403
