"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Deer Park Library" "208 S. Forest" "Deer Park" "WA" "99006" -117.4608787 47.9521093
"Deming Library" "5044 Mt. Baker Highway" "Deming" "WA" "98244" -122.2144386 48.8246737
"Des Moines Library" "21620 11th Avenue S" "Des Moines" "WA" "98198" -122.3194722 47.4081187
"Woodmont Library" "26809 Pacific Hwy S" "Des Moines" "WA" "98198" -122.3082245 47.3610631
"Duvall Library" "15619 Ne Main Street" "Duvall" "WA" "98019" -121.9861395 47.7412796
"East Wenatchee Community Library" "271 9th St Ne" "East Wenatchee" "WA" "98802" -120.2893159 47.417628
"Orcas Island Library District" "500 Rose Street" "Eastsound" "WA" "98245" -122.904855 48.696242
"Eatonville Library" "205 Center Street" "Eatonville" "WA" "98328" -122.2647428 46.8663061
"Edmonds Library" "650 Main St." "Edmonds" "WA" "98020" -122.3729211 47.8101022
"Ellensburg Public Library" "209 North Ruby Street" "Ellensburg" "WA" "98926" -120.5448627 46.9940179
"Elma Timberland Library" "118 N. First" "Elma" "WA" "98541" -123.4019383 47.0052139
"Merrills Corner Library" "5240 Eltopia West" "Eltopia" "WA" "99330" -119.113031 46.4603431
"Endicott Branch Library" "324 E Street" "Endicott" "WA" "99125" -117.685654 46.9281735
"Entiat Community Library" "14138 Kinzel St" "Entiat" "WA" "98822" -120.2092735 47.6772555
"Enumclaw Public Library" "1700 First Street" "Enumclaw" "WA" "98022" -121.9876129 47.2035657
"Ephrata Community Library" "45 Alder Nw" "Ephrata" "WA" "98823" -119.5497107 47.3208329
"Everett Public Library" "2702 Hoyt Ave" "Everett" "WA" "98201" -122.2106585 47.9816618
"Evergreen Branch Library" "9512 Evergreen Way" "Everett" "WA" "98204" -122.2382704 47.9123315
"Everson Library" "104 Kirsch Drive" "Everson" "WA" "98247" -122.3419114 48.9195479
"Fairfield Library" "305 E. Main" "Fairfield" "WA" "99012" -117.1700137 47.3852897
"Fall City Library" "33415 Se 42nd Place" "Fall City" "WA" "98024" -121.8939361 47.568746
"Federal Way 320th Library" "848 S 320th Street" "Federal Way" "WA" "98003" -122.3209108 47.3155456
"Federal Way Library" "34200 1st Way South" "Federal Way" "WA" "98003" -122.3317517 47.2945815
"Ferndale Library" "2222 Main Street" "Ferndale" "WA" "98248" -122.6042237 48.8483946
"Forks Public Library" "171 Forks Avenue" "Forks" "WA" "98331" -124.3854149 47.9491926
"Freeland Library" "5495 Harbor Ave" "Freeland" "WA" "98249" -122.5238237 48.0117195
"San Juan Island Library District" "1010 Guard Street" "Friday Harbor" "WA" "98250" -123.030327 48.536569
"Garfield Branch Library" "113 N 3rd" "Garfield" "WA" "99130" -117.1410436 47.0078467
"Peninsula Library" "4424 Point Fosdick Drive Nw" "Gig Harbor" "WA" "98335" -122.5799213 47.2990392
"Goldendale Community Library" "131 West Burgen" "Goldendale" "WA" "98620" -120.8243512 45.8202439
"Graham Library" "9202 224th Street East" "Graham" "WA" "98338" -122.3077892 47.0527132
"Grand Coulee Community Library" "225 Federal" "Grand Coulee" "WA" "99133" -119.0027531 47.9393238
"Grandview Library" "500 W. Main St." "Grandview" "WA" "98930" -119.9079111 46.2560389
"Granger Library" "508 Sunnyside Ave" "Granger" "WA" "98932" -120.1897549 46.3457188
"Granite Falls Library" "815 East Galena" "Granite Falls" "WA" "98252" -121.9596571 48.0826074
"Harrah Library" "21 E Pioneer" "Harrah" "WA" "98933" -120.5428853 46.4036934
"Harrington Public Library" "po box 496" "Harrington" "WA" "99134" -118.2544187 47.4809872
"Hoquiam Timberland Library" "420 7th St." "Hoquiam" "WA" "98550" -123.8870006 46.9772001
"Hunters Public Library" "6209 Columbia River Rd." "Hunters" "WA" "99129" -118.2032025 48.1158011
"Ilwaco Timberland Library" "158 1st Ave. N." "Ilwaco" "WA" "98624" -124.0433847 46.311292
"Ione Public Library" "210 Blackwell, Suite 1" "Ione" "WA" "99139" -117.4186583 48.7400688
"Issaquah Library" "10 W Sunset Way" "Issaquah" "WA" "98027" -122.0369681 47.5303935
"King County Library System" "960 Newport Way Nw" "Issaquah" "WA" "98027" -122.0503372 47.5403584
"Kahlotus Library" "255 Weston" "Kahlotus" "WA" "99335" -118.553833 46.6422358
"Kalama Public Library" "312 N 1st" "Kalama" "WA" "98625" -122.8452948 46.009743
"Kelso Public Library" "314 Academy St." "Kelso" "WA" "98626" -122.909332 46.145127
"Kenmore Library" "18138 73rd Ave Ne" "Kenmore" "WA" "98028" -122.24334 47.7601914
"Keewaydin Library" "405 S. Dayton" "Kennewick" "WA" "99336" -119.1224919 46.2050201
"Kennewick Library" "1620 S. Union" "Kennewick" "WA" "99338" -119.1812683 46.1937476
"Mid-Columbia Library System" "405 S. Dayton Street" "Kennewick" "WA" "99336" -119.1224919 46.2050201
"Kent Library" "212 2nd Ave N" "Kent" "WA" "98032" -122.2342107 47.3826063
"Columbia River Community Library" "225 E 3rd" "Kettle Falls" "WA" "99141" -118.0545879 48.6109327
"Kettle Falls Public Library" "605 Meyers St." "Kettle Falls" "WA" "99141" -118.0561695 48.6077202
"Kingston Library" "11212 Ne State Hwy 104" "Kingston" "WA" "98346" -122.4979312 47.7988768
"Little Boston Library" "31980 Little Boston Rd. Ne" "Kingston" "WA" "98346" -122.5461057 47.872779
"Kingsgate Library" "12315 Ne 143rd Street" "Kirkland" "WA" "98034" -122.1763356 47.729773
"Kirkland Library" "308 Kirkland Avenue" "Kirkland" "WA" "98033" -122.2029481 47.6759865
