"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Coffeyville Public Library" "311 W Tenth Street" "Coffeyville" "KS" "67337" -95.6201243 37.0337324
"Colby-Pioneer Memorial Library" "375 West 4th Street" "Colby" "KS" "67701" -101.0491925 39.3970673
"Pioneer Memorial Library, Colby" "375 W. 4th St." "Colby" "KS" "" -101.0491925 39.3970673
"Coldwater-Wilmore Regional Library" "221 E.Main" "Coldwater" "KS" "67029" -99.3259676 37.2699914
"Colony City Library" "339 Cherry Street" "Colony" "KS" "66015" -95.3668619 38.0701895
"Columbus Public Library" "205 N. Kansas" "Columbus" "KS" "66725" -94.8425746 37.1719362
"Colwich Community Library" "432 W Colwich" "Colwich" "KS" "67030" -97.540705 37.781315
"Frank Carlson Library" "702 Broadway" "Concordia" "KS" "66901" -97.6592582 39.5704815
"Conway Springs City Library" "210 W. Springs Ave" "Conway Springs" "KS" "67031" -97.6431327 37.3902871
"Copeland Public Library" "109 Santa Fe" "Copeland" "KS" "67837" -100.6295372 37.5426643
"Corning City Library" "6621 5th St." "Corning" "KS" "66417" -96.029389 39.6572529
"Burnley Memorial Library" "401 Oak Street" "Cottonwood Falls" "KS" "" -96.5422124 38.3656558
"Cottonwood Falls-Burnley Memorial" "405 N. Oak" "Cottonwood Falls" "KS" "66845" -96.5420955 38.3695876
"Council Grove Public Library" "829 W. Main St." "Council Grove" "KS" "66846" -96.4990733 38.6585919
"Courtland Community Library" "403 Main St." "Courtland" "KS" "66939" -97.8950479 39.7829984
"Hillcrest Library" "804 Bristol Street" "Cuba" "KS" "66940" -97.4538091 39.8024851
"Cunningham Public Library" "105 North Main" "Cunningham" "KS" "67035" -98.4328685 37.6453369
"Delphos Public Library" "114 W. 2nd" "Delphos" "KS" "67436" -97.7657204 39.2738551
"Derby Public Library" "611 N Mulberry Rd, Suite 200" "Derby" "KS" "67037" -97.2485949 37.5488666
