"Library Name" "Address" "City" "State" "ZIP Code" "Latitude" "Longitude"
"Nenana Public Library" "201 East Second Street" "Nenana" "AK" "99760" -149.0918469 64.5624226
"Nikolai Community-School Library" "p.o. box 9190" "Nikolai" "AK" "99691" -154.375 63.0133333
"Ninilchik Community Library" "15850 Sterling Highway" "Ninilchik" "AK" "99639" -151.6742025 60.0417358
"Kegoayah Kozga Library" "223 Front Street" "Nome" "AK" "99762" -165.4082908 64.4975694
"North Pole Branch Library" "601 Snowman Lane" "North Pole" "AK" "99705" -147.3514088 64.7493087
"Northway Community-School Library" "p.o. box 496" "Northway" "AK" "99764" -141.9372222 62.9616667
"Nuiqsut Trapper School-Community Library" "3310 3rd Avenue" "Nuiqsut" "AK" "99789" -150.9971881 70.2188346
"Ouzinkie Tribal Media Center" "130 Third Street" "Ouzinkie" "AK" "99644" -152.4981595 57.9237915
"Palmer Public Library" "655 South Valley Way" "Palmer" "AK" "99645" -149.1122615 61.5996387
"Pelican Public Library" "166 Salmon Way" "Pelican" "AK" "99832" -136.2263261 57.9596249
"Petersburg Public Library" "12 South Nordic Drive" "Petersburg" "AK" "99833" -132.9577441 56.8109425
"Pilot Point Tribal Library" "2200 Main Street" "Pilot Point" "AK" "99649" -157.5758755 57.5512384
"Tikigak School-Community Library" "1837 Tikigak Avenue" "Point Hope" "AK" "99766" -166.7329587 68.3494952
"Kali School-Community Library" "1029 Ugruk Avenye" "Point Lay" "AK" "99759" -163.0112033 69.7432115
"Jessie Wakefield Memorial Library" "207 Spruce Drive" "Port Lions" "AK" "99550" -152.883773 57.866696
"Ruby Community Library" "10 Bobby Kennedy Sr. Way" "Ruby" "AK" "99768" -155.4834792 64.73759
"Russian Mission Community-School Library" "2 School Drive" "Russian Mission" "AK" "99657" -161.3301353 61.7872394
"St. Paul Island School-Community Library" "930 Tolstol Boulevard" "Saint Paul" "AK" "99660" -170.2802492 57.1214901
"Sand Point Community-School Library" "123 Red Cove Road" "Sand Point" "AK" "99661" -160.4773267 55.3520713
"Scammon Bay Public Library" "101 Askinuk Street" "Scammon Bay" "AK" "99662" -165.5816667 61.8427778
"Selawik Davis Community-School Library" "119 Tundra Drive" "Selawik" "AK" "99770" -160.0145783 66.5987979
"Seldovia Public Library" "260 Seldovia Street" "Seldovia" "AK" "99663" -151.714367 59.4388022
"Seward Community Library" "238 5th Avenue" "Seward" "AK" "99664" -149.4388324 60.10261
"Innoko River Community-School Library" "101 Pine Street" "Shageluk" "AK" "99665" -159.5619443 62.6822222
"Kettleson Memorial Library" "320 Harbor Drive" "Sitka" "AK" "99835" -135.3330126 57.0500798
"Skagway Public Library" "769 State Street" "Skagway" "AK" "99840" -135.3139449 59.4574959
"Soldotna Public Library" "235 North Binkley Street" "Soldotna" "AK" "99669" -151.0737723 60.492255
"St. George Island School-Community Library" "p.o. box 905" "St. George" "AK" "99591" -169.5416667 56.6
"Sutton Public Library" "11317 North Jonesville Mine Road" "Sutton" "AK" "99674" -148.894055 61.711263
"Sutton Public Library" "11317 N Jonesville Mine Rd" "Sutton" "AK" "99674" -148.894055 61.711263
"Takotna Community Library" "p.o. box 7529" "Takotna" "AK" "99675" -156.0641666 62.9886111
"Talkeetna Public Library" "23151 South Talkeetna Spur Road" "Talkeetna" "AK" "99676" -150.1064187 62.3131236
"Tanana Community-School Library" "89 Front Street" "Tanana" "AK" "99777" -152.0788889 65.1719444
"Dermott Otoole Memorial Library" "707 West Tenakee Avenue" "Tenakee Springs" "AK" "99841" -135.2094587 57.7797008
"Thorne Bay Public Library" "120 Freeman Drive" "Thorne Bay" "AK" "99919" -132.5240288 55.6881195
"Togiak Public Library And Cultural Center" "p.o. box 353" "Togiak" "AK" "99678" -160.3763889 59.0619444
"Tok Community Library" "p.o. box 227" "Tok" "AK" "99780" -142.9855556 63.3366667
"Trapper Creek Public Library" "8901 East Devonshire Drive" "Trapper Creek" "AK" "99683" -150.2451232 62.3072638
"Tuluksak School-Community Library" "p.o. box 115" "Tuluksak" "AK" "99679" -160.9616667 61.1025
"Unalaska Public Library" "63 Eleanor Drive" "Unalaska" "AK" "99685" -166.5319844 53.8714885
"Valdez Consortium Library" "212 Fairbanks Street" "Valdez" "AK" "99686" -146.354068 61.129876
"Alak Community-School Library" "567 Main Street" "Wainwright" "AK" "99782" -160.0351217 70.6366077
"Big Lake Public Library" "3212 South Big Lake Road" "Wasilla" "AK" "99654" -149.8325916 61.531947
"Wasilla Public Library" "391 North Main Street" "Wasilla" "AK" "99654" -149.4408893 61.5829181
"Whale Pass Community Library" "p.o.box wwp" "Whale Pass" "AK" "99950" -133.1953977 56.1265111
"Naqiaksrat Library" "p.o. box 130" "White Mountain" "AK" "99784" -163.4055556 64.6813889
"Willow Public Library" "23557 West Willow Community Center" "Willow" "AK" "99688" -150.0477905 61.7454964
"Irene Ingle Public Library" "124 Second Avenue" "Wrangell" "AK" "99929" -132.3761221 56.4735297
